pigID,pigID_blind,age_days,age_days_edit,age_week,gender_cohort,Study_group,housing,sampling,biome_study,variableid,group,variable,amr_biome,indices,value,animal_prev,amr_prev
366,4,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.733690609,1,1
369,5,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.585565813,1,1
379,6,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.559586971,1,1
361,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.74158709,1,1
370,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.515808047,1,1
365,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
372,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.756961951,1,1
362,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.481593946,1,1
367,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.610077963,1,1
373,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.478019486,1,1
368,,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.615342203,1,1
292,1,154,154,22,1,Breeder_sows,Gestation barn,1 day prior to moving to sows barn,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.747416633,1,1
