PigID,cohort,Age_weeks,sampling1,16s rRNA Quantity Avg. (copies),per g of feces x3500,log10 16s,average tetA,log10tet,stand tetA,standardize tetA (log 10),average ctxm,log10ctxm,stand ctxm,stand ctxm(log 10),averagectxm1,standctxm1,standctxm1_log 10
391,1,6,Growing,26600587.91,93102057678,10.96895928,9228151.4,6.965114711,9.91E-05,-4.003844568,44614.78461,4.649478801,4.79E-07,-6.319480479,44615.78461,4.79E-07,-6.319470745
363,2,6,Growing,22053400.59,77186902082,10.88754361,250678330,8.399116793,0.00324768,-2.488426818,94384.81499,4.974902129,1.22E-06,-5.912641482,94385.81499,1.22E-06,-5.912636881
366,2,6,Growing,17694266.86,61929934013,10.79190062,11560782.5,7.062987231,0.000186675,-3.728913387,,,,.,1,1.61E-11,-10.79190062
369,2,6,Growing,30624778.82,1.07E+11,11.03014101,56601683.63,7.75282935,0.000528066,-3.277311656,239443.9902,5.379203941,2.23E-06,-5.650937064,239444.9902,2.23E-06,-5.650936361
379,2,6,Growing,25313267.31,88596435586,10.94741625,1401601.279,6.146624485,1.58E-05,-4.800791765,97125.98727,4.987335446,1.10E-06,-5.960080803,97126.98727,1.10E-06,-5.960076332
292,1,10,Growing,8776550.553,30717926935,10.4873919,326214.3333,5.513503039,1.06E-05,-4.973888864,51398.05523,4.710946687,1.67E-06,-5.776445216,51399.05523,1.67E-06,-5.776436767
296,1,10,Growing,6209235.658,21732324803,10.33710619,240685.7772,5.381450427,1.11E-05,-4.95565576,,,,.,1,4.60E-11,-10.33710619
389,1,10,Growing,491525.3143,1720338600,9.235613934,103627.8048,5.015476298,6.02E-05,-4.220137636,,,,.,1,5.81E-10,-9.235613934
391,1,10,Growing,5844208.617,20454730158,10.31079375,195060.5142,5.290169365,9.54E-06,-5.02062439,39457.36262,4.596128053,1.93E-06,-5.714665702,39458.36262,1.93E-06,-5.714654695
363,2,10,Growing,2452475.094,8583662828,9.93367265,236114.6187,5.373122877,2.75E-05,-4.560549773,,,,.,1,1.17E-10,-9.93367265
366,2,10,Growing,5935245.171,20773358097,10.31750671,306265.5781,5.486098188,1.47E-05,-4.831408519,,,,.,1,4.81E-11,-10.31750671
369,2,10,Growing,3333684.077,11667894271,10.06699249,395479.5297,5.597124009,3.39E-05,-4.469868476,29507.59166,4.469933765,2.53E-06,-5.59705872,29508.59166,2.53E-06,-5.597044002
379,2,10,Growing,2636519.522,9227818327,9.965099036,219707.2365,5.341844362,2.38E-05,-4.623254674,,,,.,1,1.08E-10,-9.965099036
292,1,12,Growing,26403187.05,92411154683,10.9657244,747299.2655,5.873494555,8.09E-06,-5.092229841,55494.59816,4.744250711,6.01E-07,-6.221473686,55495.59816,6.01E-07,-6.22146586
296,1,12,Growing,795600.5418,2784601896,9.444763115,643748.2836,5.808716084,0.000231181,-3.63604703,,,,.,1,3.59E-10,-9.444763115
389,1,12,Growing,4063006.6,14220523101,10.15291557,280966.2945,5.448654224,1.98E-05,-4.704261348,82192.16746,4.914830433,5.78E-06,-5.238085139,82193.16746,5.78E-06,-5.238079855
391,1,12,Growing,6149546.388,21523412358,10.33291113,1420598.464,6.152471341,6.60E-05,-4.180439785,,,,.,1,4.65E-11,-10.33291113
363,2,12,Growing,1464229.423,5124802980,9.709677174,343885.7269,5.536414151,6.71E-05,-4.173263023,,,,.,1,1.95E-10,-9.709677174
366,2,12,Growing,2595637.49,9084731216,9.958312083,1368982.36,6.136397852,0.00015069,-3.821914231,,,,.,1,1.10E-10,-9.958312083
369,2,12,Growing,2453372.742,8586804596,9.93383158,4841373.323,6.684968573,0.000563815,-3.248863007,,,,.,1,1.16E-10,-9.93383158
379,2,12,Growing,9975362.246,34913767861,10.54299672,341867.3578,5.533857635,9.79E-06,-5.009139085,87879.50905,4.943887622,2.52E-06,-5.599109098,87880.50905,2.52E-06,-5.599104156
292,1,22,Growing,8391765.3,29371178551,10.46792137,3570743.495,6.552758654,0.000121573,-3.91516272,166050.7382,5.220240811,5.65E-06,-5.247680563,166051.7382,5.65E-06,-5.247677947
296,1,22,Growing,8654290.159,30290015555,10.4812995,542768.152,5.734614357,1.79E-05,-4.74668514,33299.11348,4.522432671,1.10E-06,-5.958866825,33300.11348,1.10E-06,-5.958853783
389,1,22,Growing,5044417.296,17655460536,10.24687905,569147.9206,5.755225153,3.22E-05,-4.491653897,43514.02293,4.638629236,2.46E-06,-5.608249814,43515.02293,2.46E-06,-5.608239834
391,1,22,Growing,14381072.89,50333755112,10.70185933,543481.9998,5.735185165,1.08E-05,-4.966674167,45055.29199,4.653745809,8.95E-07,-6.048113523,45056.29199,8.95E-07,-6.048103884
363,2,22,Growing,3326274.212,11641959740,10.06602609,329652.3366,5.518056158,2.83E-05,-4.547969935,37782.56947,4.57729149,3.25E-06,-5.488734604,37783.56947,3.25E-06,-5.488723109
366,2,22,Growing,2577879.932,9022579761,9.95533073,3839027.961,6.584221275,0.000425491,-3.371109455,32034.47576,4.505617621,3.55E-06,-5.449713109,32035.47576,3.55E-06,-5.449699552
